Model,Confidence_Threshold,mAP@0.5,mAP@0.5:0.95,Recall@100,FPS,Speed_ms,Total_Detections,Total_GT,Avg_Confidence
Faster R-CNN,0.01,80.61186671257019,44.47133541107178,51.26543045043945,10.46308352110158,95.57411999849137,347,324,0.8039194345474243
Faster R-CNN,0.03,80.61186671257019,44.47133541107178,51.26543045043945,10.602624553280162,94.31626999285072,347,324,0.8039194345474243
Faster R-CNN,0.049999999999999996,80.61186671257019,44.47133541107178,51.26543045043945,9.946486905911467,100.53800999885425,347,324,0.8039194345474243
Faster R-CNN,0.06999999999999999,79.82791662216187,44.115617871284485,50.77160596847534,10.604272822003669,94.30161000054795,335,324,0.8305910229682922
Faster R-CNN,0.08999999999999998,79.82791662216187,44.115617871284485,50.77160596847534,10.26032812269153,97.46277000522241,330,324,0.8419185876846313
Faster R-CNN,0.10999999999999997,79.82791662216187,43.96163821220398,50.67901015281677,10.011181488667855,99.88830999936908,325,324,0.8533985018730164
Faster R-CNN,0.12999999999999998,79.010009765625,43.760520219802856,50.21604895591736,10.200815290124734,98.03137999842875,320,324,0.864861786365509
Faster R-CNN,0.15,79.010009765625,43.760520219802856,50.12345910072327,10.039183939763209,99.60968999075703,316,324,0.8740102052688599
Faster R-CNN,0.16999999999999998,79.010009765625,43.760520219802856,50.12345910072327,10.37309319277279,96.40325999353081,313,324,0.8808359503746033
Faster R-CNN,0.18999999999999997,79.010009765625,43.760520219802856,50.12345910072327,10.500463648507928,95.23388999514282,310,324,0.887627363204956
Faster R-CNN,0.20999999999999996,78.16682457923889,43.594175577163696,50.0308632850647,10.479551616582311,95.42393001029268,308,324,0.8920950889587402
Faster R-CNN,0.22999999999999998,78.16634774208069,43.51544678211212,49.87654387950897,10.23584617877029,97.69588000199292,305,324,0.8987260460853577
Faster R-CNN,0.24999999999999997,77.32232809066772,43.20445656776428,49.72222149372101,10.273653134327652,97.33636000019033,302,324,0.9052190780639648
Faster R-CNN,0.26999999999999996,77.32232809066772,43.042632937431335,49.351853132247925,10.430149809180557,95.8758999913698,298,324,0.9138416051864624
Faster R-CNN,0.29,77.32232809066772,43.042632937431335,49.351853132247925,10.390491286595166,96.24184000713285,297,324,0.9159761667251587
Faster R-CNN,0.30999999999999994,76.46891474723816,42.81060993671417,49.0123450756073,10.697455942045666,93.4801699972013,292,324,0.9264533519744873
